Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
R5B 24xlarge,r5b.24xlarge,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,7.15200
M6IN 24xlarge,m6in.24xlarge,384.0 GiB,96 vCPUs,EBS only,150 Gigabit,6.68300
X1E Eight Extra Large,x1e.8xlarge,976.0 GiB,32 vCPUs,960 GB                 SSD,Up to 10 Gigabit,6.67200
X1 Extra High-Memory 16xlarge,x1.16xlarge,976.0 GiB,64 vCPUs,1920 GB                 SSD,10 Gigabit,6.66900
C7A 32xlarge,c7a.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,6.56900
R7I Metal-24xl,r7i.metal-24xl,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,6.35040
R7I 24xlarge,r7i.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,6.35040
M6I 32xlarge,m6i.32xlarge,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,6.14400
M6I Metal,m6i.metal,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,6.14400
R5 Metal,r5.metal,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,6.04800
R5 24xlarge,r5.24xlarge,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,6.04800
R6I 24xlarge,r6i.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,6.04800
R7IZ 16xlarge,r7iz.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,5.95200
R7IZ Metal-16xl,r7iz.metal-16xl,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,5.95200
M5N 24xlarge,m5n.24xlarge,384.0 GiB,96 vCPUs,EBS only,100 Gigabit,5.71200
M5N Metal,m5n.metal,384.0 GiB,96 vCPUs,EBS only,100 Gigabit,5.71200
R8G Metal-24xl,r8g.metal-24xl,768.0 GiB,96 vCPUs,EBS only,40 Gigabit,5.65540
R8G 24xlarge,r8g.24xlarge,768.0 GiB,96 vCPUs,EBS only,40 Gigabit,5.65540
R6IN 16xlarge,r6in.16xlarge,512.0 GiB,64 vCPUs,EBS only,100 Gigabit,5.57860
